label,variable,distribution,lower,median,upper,,,,Definition of the variables,,,,,,,,,,
Delay in fish decline (check d.),check_dams_delay_start_fish_decline,posnorm,2,,4,,,,"If check dams is implemented, delay in time, with respect to the baseline, until fish pop. decreases (in years)",,,,,,,,,,
Delay in fish decline (buffer s.),buffer_strips_delay_start_fish_decline,posnorm,3,,6,,,,"If buffer strips is implemented, delay in time, with respect to the baseline, until fish pop. decreases (in years)",,,,,,,,,,
Years bef. fish pop. halved D/S (base),time_to_halve_fish_population_baseline,posnorm,14,,20,,,,"In the baseline case, time before the fish population is halved (in years)",,,,,,,,,,
Delay in fish pop. halved (dredg.),dredging_delay_in_time_to_halve_fish_population,posnorm,1,,2,,,,"If dredging is implemented, delay in time, with respect to the baseline, until the fish population is halved (in years)",,,,,,,,,,
Delay in fish pop. halved (check d.),check_dams_delay_in_time_to_halve_fish_population,posnorm,2,,4,,,,"If check dams is implemented, delay in time, with respect to the baseline, until the fish population is halved (in years)",,,,,,,,,,
Delay in fish pop. halved (buffer s.),buffer_strips_delay_in_time_to_halve_fish_population,posnorm,5,,8,,,,"If buffer strips is implemented, delay in time, with respect to the baseline, until the fish population is halved (in years)",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
NPV for all interventions,NPV_dredge_check_buff,const,1,,1,,,,Net present value if all interventions are implemented (in dollars),,,,,,,,,,
NPV if dredging and check dams,NPV_dredge_check_nbuff,const,1,,1,,,,Net present value if dredging and check dams are implemented (in dollars),,,,,,,,,,
NPV if dredging and buffer strips,NPV_dredge_ncheck_buff,const,1,,1,,,,Net present value if dredging and buffer strips are implemented (in dollars),,,,,,,,,,
NPV if only dredging,NPV_dredge_ncheck_nbuff,const,1,,1,,,,Net present value if only dredging is implemented (in dollars),,,,,,,,,,
NPV if check dams and buff strips,NPV_ndredge_check_buff,const,1,,1,,,,Net present value if check dams and buffer strips are implemented (in dollars),,,,,,,,,,
NPV if only check dams,NPV_ndredge_check_nbuff,const,1,,1,,,,Net present value if only check dams is implemented (in dollars),,,,,,,,,,
NPV if only buffer strips,NPV_ndredge_ncheck_buff,const,1,,1,,,,Net present value if only buffer strips is implemented (in dollars),,,,,,,,,,
