"","0%","5%","10%","25%","50%","75%","90%","95%","100%","mean","chance_loss","chance_zero","chance_gain"
"y.cashflow_NPV_dredge_check_nbuff24","  -3154","   1176"," 2.1e+03","   3879","   6503","  9755"," 13606"," 16119","  44932","   7296","0.0206","0","0.9794"
"y.cashflow_NPV_dredge_check_nbuff25","  -4582","   1097"," 2.0e+03","   3702","   6311","  9549"," 13070"," 15805","  35304","   7064","0.0187","0","0.9813"
"y.cashflow_NPV_dredge_check_nbuff26","  -2928","   1066"," 2.0e+03","   3584","   6101","  9238"," 12698"," 15041","  36625","   6832","0.0195","0","0.9805"
"y.cashflow_NPV_dredge_check_nbuff27","  -2108","   1002"," 1.8e+03","   3470","   5899","  8958"," 12184"," 14681","  42030","   6607","0.0195","0","0.9805"
"y.cashflow_NPV_dredge_check_nbuff28","  -1473","    957"," 1.7e+03","   3267","   5750","  8716"," 11966"," 14109","  39315","   6390","0.0183","0","0.9817"
"y.cashflow_NPV_dredge_check_nbuff29","  -3159","    843"," 1.6e+03","   3138","   5516","  8293"," 11432"," 13523","  31732","   6104","0.0188","0","0.9812"
"y.cashflow_NPV_dredge_check_nbuff30","  -1815","    837"," 1.5e+03","   2961","   5297","  8037"," 10935"," 13042","  29540","   5864","0.0186","0","0.9814"
"y.cashflow_NPV_dredge_ncheck_buff1","-350424","-259575","-2.4e+05","-210054","-169839","-47507","-27419","-15896","  19830","-144443","0.9946","0","0.0054"
"y.cashflow_NPV_dredge_ncheck_buff2"," -39410","  -6763","-2.6e+03","   1646","   6620"," 12278"," 18208"," 22276","  64033","   7185","0.1666","0","0.8334"
"y.cashflow_NPV_dredge_ncheck_buff3"," -33663","  -5668","-2.1e+03","   2393","   7827"," 13431"," 19406"," 23290","  53726","   8165","0.1492","0","0.8508"
"y.cashflow_NPV_dredge_ncheck_buff4"," -53872","  -5097","-1.2e+03","   2887","   8607"," 14625"," 20627"," 24706","  63493","   9038","0.1304","0","0.8696"
"y.cashflow_NPV_dredge_ncheck_buff5"," -29825","  -4132","-6.3e+02","   3036","   9174"," 15228"," 21600"," 26046","  62773","   9674","0.1185","0","0.8815"
"y.cashflow_NPV_dredge_ncheck_buff6"," -27381","  -3432","-2.0e+02","   3196","   9717"," 16052"," 22489"," 26803","  70273","  10265","0.1084","0","0.8916"
"y.cashflow_NPV_dredge_ncheck_buff7"," -37038","  -2002"," 1.8e+02","   3797","  10442"," 16796"," 23261"," 28101","  57926","  11050","0.0922","0","0.9078"
"y.cashflow_NPV_dredge_ncheck_buff8"," -20603","  -1301"," 5.6e+02","   4016","  10946"," 17523"," 23984"," 28511","  76622","  11589","0.0784","0","0.9216"
