"","5%","50%","95%","enbPa","elPa","elSq","eol","optimalChoice"
"cashflow_NPV_dredge_ncheck_buff12","    103","  12979"," 31704","  13537","8.9e+01","1.4e+04","8.9e+01","PA"
"cashflow_NPV_dredge_ncheck_buff13","    238","  13302"," 31786","  13819","5.9e+01","1.4e+04","5.9e+01","PA"
"cashflow_NPV_dredge_ncheck_buff14","    319","  13527"," 32717","  14102","4.5e+01","1.4e+04","4.5e+01","PA"
"cashflow_NPV_dredge_ncheck_buff15","    441","  13740"," 32295","  14229","4.1e+01","1.4e+04","4.1e+01","PA"
"cashflow_NPV_dredge_ncheck_buff16","    512","  14020"," 32664","  14443","2.7e+01","1.4e+04","2.7e+01","PA"
"cashflow_NPV_dredge_ncheck_buff17","    472","  14342"," 32965","  14578","2.7e+01","1.5e+04","2.7e+01","PA"
"cashflow_NPV_dredge_ncheck_buff18","    518","  14447"," 32618","  14592","1.9e+01","1.5e+04","1.9e+01","PA"
"cashflow_NPV_dredge_ncheck_buff19","    570","  14672"," 32880","  14727","1.5e+01","1.5e+04","1.5e+01","PA"
"cashflow_NPV_dredge_ncheck_buff20","    508","  14795"," 32986","  14739","1.4e+01","1.5e+04","1.4e+01","PA"
"cashflow_NPV_dredge_ncheck_buff21","    547","  15000"," 32929","  14732","1.3e+01","1.5e+04","1.3e+01","PA"
"cashflow_NPV_dredge_ncheck_buff22","    477","  15140"," 32722","  14779","1.2e+01","1.5e+04","1.2e+01","PA"
"cashflow_NPV_dredge_ncheck_buff23","    458","  15152"," 32411","  14723","1.1e+01","1.5e+04","1.1e+01","PA"
"cashflow_NPV_dredge_ncheck_buff24","    553","  15233"," 32224","  14715","8.4e+00","1.5e+04","8.4e+00","PA"
"cashflow_NPV_dredge_ncheck_buff25","    470","  15117"," 32473","  14627","9.7e+00","1.5e+04","9.7e+00","PA"
"cashflow_NPV_dredge_ncheck_buff26","    417","  15237"," 32240","  14600","7.7e+00","1.5e+04","7.7e+00","PA"
"cashflow_NPV_dredge_ncheck_buff27","    421","  15246"," 32094","  14541","7.2e+00","1.5e+04","7.2e+00","PA"
"cashflow_NPV_dredge_ncheck_buff28","    385","  15122"," 32123","  14465","7.2e+00","1.4e+04","7.2e+00","PA"
"cashflow_NPV_dredge_ncheck_buff29","    317","  15187"," 31803","  14320","7.3e+00","1.4e+04","7.3e+00","PA"
"cashflow_NPV_dredge_ncheck_buff30","    356","  15104"," 31664","  14213","7.5e+00","1.4e+04","7.5e+00","PA"
"cashflow_NPV_dredge_ncheck_nbuff1"," -26595"," -15048","  1114"," -13394","1.4e+04","3.5e+02","3.5e+02","SQ"
"cashflow_NPV_dredge_ncheck_nbuff2"," -10280","   1918"," 15277","   2234","1.6e+03","3.8e+03","1.6e+03","PA"
"cashflow_NPV_dredge_ncheck_nbuff3","  -9403","   2404"," 15886","   2721","1.5e+03","4.2e+03","1.5e+03","PA"
"cashflow_NPV_dredge_ncheck_nbuff4","  -8459","   2601"," 16120","   3122","1.3e+03","4.4e+03","1.3e+03","PA"
"cashflow_NPV_dredge_ncheck_nbuff5","  -7746","   2525"," 15931","   3188","1.2e+03","4.4e+03","1.2e+03","PA"
"cashflow_NPV_dredge_ncheck_nbuff6","  -7110","   2330"," 14947","   3039","1.0e+03","4.1e+03","1.0e+03","PA"
"cashflow_NPV_dredge_ncheck_nbuff7","  -6403","   2419"," 14431","   3161","8.8e+02","4.0e+03","8.8e+02","PA"
"cashflow_NPV_dredge_ncheck_nbuff8","  -5156","   2555"," 13953","   3297","7.1e+02","4.0e+03","7.1e+02","PA"
"cashflow_NPV_dredge_ncheck_nbuff9","  -3981","   2655"," 13164","   3409","5.6e+02","4.0e+03","5.6e+02","PA"
"cashflow_NPV_dredge_ncheck_nbuff10","  -3169","   2759"," 12803","   3463","4.5e+02","3.9e+03","4.5e+02","PA"
"cashflow_NPV_dredge_ncheck_nbuff11","  -2115","   2945"," 12324","   3605","3.4e+02","3.9e+03","3.4e+02","PA"
"cashflow_NPV_dredge_ncheck_nbuff12","  -1532","   2983"," 11482","   3615","2.6e+02","3.9e+03","2.6e+02","PA"
"cashflow_NPV_dredge_ncheck_nbuff13","   -963","   3039"," 10744","   3607","1.8e+02","3.8e+03","1.8e+02","PA"
"cashflow_NPV_dredge_ncheck_nbuff14","   -667","   3150"," 10276","   3677","1.4e+02","3.8e+03","1.4e+02","PA"
"cashflow_NPV_dredge_ncheck_nbuff15","   -562","   3191","  9515","   3590","1.2e+02","3.7e+03","1.2e+02","PA"
"cashflow_NPV_dredge_ncheck_nbuff16","   -405","   3174","  9114","   3549","8.3e+01","3.6e+03","8.3e+01","PA"
"cashflow_NPV_dredge_ncheck_nbuff17","   -320","   3187","  8757","   3491","6.6e+01","3.6e+03","6.6e+01","PA"
"cashflow_NPV_dredge_ncheck_nbuff18","   -308","   3136","  8150","   3381","6.0e+01","3.4e+03","6.0e+01","PA"
"cashflow_NPV_dredge_ncheck_nbuff19","   -271","   3071","  7743","   3281","5.2e+01","3.3e+03","5.2e+01","PA"
"cashflow_NPV_dredge_ncheck_nbuff20","   -222","   2976","  7471","   3170","4.3e+01","3.2e+03","4.3e+01","PA"
"cashflow_NPV_dredge_ncheck_nbuff21","   -216","   2863","  7052","   3015","4.1e+01","3.1e+03","4.1e+01","PA"
"cashflow_NPV_dredge_ncheck_nbuff22","   -204","   2753","  6703","   2908","3.7e+01","2.9e+03","3.7e+01","PA"
"cashflow_NPV_dredge_ncheck_nbuff23","   -176","   2629","  6323","   2755","3.4e+01","2.8e+03","3.4e+01","PA"
"cashflow_NPV_dredge_ncheck_nbuff24","   -163","   2500","  6054","   2622","3.0e+01","2.7e+03","3.0e+01","PA"
"cashflow_NPV_dredge_ncheck_nbuff25","   -159","   2346","  5779","   2482","2.7e+01","2.5e+03","2.7e+01","PA"
"cashflow_NPV_dredge_ncheck_nbuff26","   -137","   2233","  5321","   2347","2.4e+01","2.4e+03","2.4e+01","PA"
"cashflow_NPV_dredge_ncheck_nbuff27","   -131","   2112","  5153","   2212","2.5e+01","2.2e+03","2.5e+01","PA"
"cashflow_NPV_dredge_ncheck_nbuff28","   -125","   1988","  4837","   2099","2.2e+01","2.1e+03","2.2e+01","PA"
"cashflow_NPV_dredge_ncheck_nbuff29","   -116","   1846","  4515","   1951","2.1e+01","2.0e+03","2.1e+01","PA"
"cashflow_NPV_dredge_ncheck_nbuff30","   -128","   1743","  4216","   1832","2.1e+01","1.9e+03","2.1e+01","PA"
"cashflow_NPV_ndredge_check_buff1","-285961","-194172","-41303","-169631","1.7e+05","3.0e+00","3.0e+00","SQ"
"cashflow_NPV_ndredge_check_buff2","  -6999","   6388"," 22236","   6882","9.4e+02","7.8e+03","9.4e+02","PA"
"cashflow_NPV_ndredge_check_buff3","  -6068","   7541"," 23246","   7911","8.0e+02","8.7e+03","8.0e+02","PA"
"cashflow_NPV_ndredge_check_buff4","  -4915","   8386"," 24747","   8934","6.3e+02","9.6e+03","6.3e+02","PA"
"cashflow_NPV_ndredge_check_buff5","  -4029","   9326"," 25714","   9864","5.2e+02","1.0e+04","5.2e+02","PA"
"cashflow_NPV_ndredge_check_buff6","  -2980","   9833"," 26464","  10462","4.3e+02","1.1e+04","4.3e+02","PA"
"cashflow_NPV_ndredge_check_buff7","  -1478","  10662"," 27934","  11394","3.0e+02","1.2e+04","3.0e+02","PA"
"cashflow_NPV_ndredge_check_buff8","   -879","  11047"," 28140","  11790","2.3e+02","1.2e+04","2.3e+02","PA"
"cashflow_NPV_ndredge_check_buff9","   -427","  11875"," 29746","  12564","1.8e+02","1.3e+04","1.8e+02","PA"
"cashflow_NPV_ndredge_check_buff10","   -352","  12333"," 30188","  13008","1.5e+02","1.3e+04","1.5e+02","PA"
"cashflow_NPV_ndredge_check_buff11","    -47","  12864"," 31548","  13653","1.1e+02","1.4e+04","1.1e+02","PA"
"cashflow_NPV_ndredge_check_buff12","     50","  13312"," 32189","  14170","8.8e+01","1.4e+04","8.8e+01","PA"
"cashflow_NPV_ndredge_check_buff13","    104","  13699"," 32468","  14506","6.2e+01","1.5e+04","6.2e+01","PA"
"cashflow_NPV_ndredge_check_buff14","    229","  14027"," 33491","  14902","4.5e+01","1.5e+04","4.5e+01","PA"
"cashflow_NPV_ndredge_check_buff15","    206","  14341"," 33386","  15157","3.6e+01","1.5e+04","3.6e+01","PA"
"cashflow_NPV_ndredge_check_buff16","    235","  14437"," 34078","  15339","3.1e+01","1.5e+04","3.1e+01","PA"
"cashflow_NPV_ndredge_check_buff17","    263","  14836"," 33795","  15579","2.8e+01","1.6e+04","2.8e+01","PA"
"cashflow_NPV_ndredge_check_buff18","    311","  15037"," 34132","  15589","1.9e+01","1.6e+04","1.9e+01","PA"
"cashflow_NPV_ndredge_check_buff19","    239","  15240"," 34269","  15730","2.1e+01","1.6e+04","2.1e+01","PA"
"cashflow_NPV_ndredge_check_buff20","    214","  15329"," 34427","  15824","1.8e+01","1.6e+04","1.8e+01","PA"
"cashflow_NPV_ndredge_check_buff21","    198","  15402"," 34132","  15795","1.7e+01","1.6e+04","1.7e+01","PA"
"cashflow_NPV_ndredge_check_buff22","    177","  15467"," 34018","  15791","1.4e+01","1.6e+04","1.4e+01","PA"
"cashflow_NPV_ndredge_check_buff23","    179","  15389"," 34040","  15778","1.4e+01","1.6e+04","1.4e+01","PA"
"cashflow_NPV_ndredge_check_buff24","    165","  15601"," 33549","  15762","1.3e+01","1.6e+04","1.3e+01","PA"
"cashflow_NPV_ndredge_check_buff25","    139","  15549"," 33553","  15668","1.1e+01","1.6e+04","1.1e+01","PA"
"cashflow_NPV_ndredge_check_buff26","    150","  15675"," 33668","  15654","1.0e+01","1.6e+04","1.0e+01","PA"
"cashflow_NPV_ndredge_check_buff27","    143","  15679"," 33622","  15571","9.7e+00","1.6e+04","9.7e+00","PA"
"cashflow_NPV_ndredge_check_buff28","    122","  15578"," 33309","  15490","9.2e+00","1.5e+04","9.2e+00","PA"
"cashflow_NPV_ndredge_check_buff29","    147","  15539"," 33229","  15324","7.9e+00","1.5e+04","7.9e+00","PA"
"cashflow_NPV_ndredge_check_buff30","    123","  15627"," 32853","  15221","8.8e+00","1.5e+04","8.8e+00","PA"
"cashflow_NPV_ndredge_check_nbuff1"," -55372"," -42408","-16134"," -38909","3.9e+04","4.1e+01","4.1e+01","SQ"
